country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,date
World,"1,416,426","+70,422","81,325","+6,671","301,398",2020-04-07
USA,"390,414","+23,410","12,474 ","+1,603","21,488",2020-04-07
Spain,"140,511","+3,836","13,897 ",+556,"43,208",2020-04-07
Italy,"135,586","+3,039","17,127 ",+604,"24,392",2020-04-07
France,"109,069","+11,059","10,328 ","+1,417","19,337",2020-04-07
Germany,"107,458","+4,083","1,983 ",+173,"36,081",2020-04-07
Iran,"62,589","+2,089","3,872 ",+133,"27,039",2020-04-07
UK,"55,242","+3,634","6,159 ",+786,135,2020-04-07
Turkey,"34,109","+3,892",725 ,+76,"1,582",2020-04-07
Switzerland,"22,253",+596,821 ,+56,"8,704",2020-04-07
Belgium,"22,194","+1,380","2,035 ",+403,"4,157",2020-04-07
Netherlands,"19,580",+777,"2,101 ",+234,250,2020-04-07
Canada,"17,840","+1,173",375 ,+52,"3,935",2020-04-07
Austria,"12,633",+336,243 ,+23,"4,046",2020-04-07
Brazil,"12,632",+449,588 ,+24,127,2020-04-07
Portugal,"12,442",+712,345 ,+34,184,2020-04-07
S. Korea,"10,331",+47,192 ,+6,"6,694",2020-04-07
Israel,"9,248",+344,65 ,+8,770,2020-04-07
Sweden,"7,693",+487,591 ,+114,205,2020-04-07
Russia,"7,497","+1,154",58 ,+11,494,2020-04-07
Australia,"5,919",+24,48 ,+3,"2,547",2020-04-07
Norway,"5,903",+38,89 ,+13,32,2020-04-07
Ireland,"5,709",+345,210 ,+36,25,2020-04-07
India,"5,311",+533,150 ,+14,421,2020-04-07
Chile,"5,116",+301,43 ,+6,898,2020-04-07
Denmark,"5,071",+390,203 ,+16,"1,491",2020-04-07
Czechia,"4,944",+122,88 ,+10,172,2020-04-07
Poland,"4,848",+435,129 ,+22,191,2020-04-07
Romania,"4,417",+360,197 ,+21,460,2020-04-07
Pakistan,"4,009",+243,56 ,+3,429,2020-04-07
Malaysia,"3,963",+170,63 ,+1,"1,321",2020-04-07
Japan,"3,906",,92 ,,592,2020-04-07
Philippines,"3,764",+104,177 ,+14,84,2020-04-07
Ecuador,"3,747",,191 ,,100,2020-04-07
Luxembourg,"2,970",+127,44 ,+3,500,2020-04-07
Peru,"2,954",+393,107 ,+15,"1,301",2020-04-07
Saudi Arabia,"2,795",+190,41 ,+3,615,2020-04-07
Indonesia,"2,738",+247,221 ,+12,204,2020-04-07
Serbia,"2,447",+247,61 ,+3,118,2020-04-07
Mexico,"2,439",+296,125 ,+31,633,2020-04-07
UAE,"2,359",+283,12 ,+1,186,2020-04-07
Finland,"2,308",+132,34 ,+7,300,2020-04-07
Thailand,"2,258",+38,27 ,+1,888,2020-04-07
Panama,"2,100",,55 ,,14,2020-04-07
Qatar,"2,057",+225,6 ,+2,150,2020-04-07
Dominican Republic,"1,956",+128,98 ,+12,36,2020-04-07
Greece,"1,832",+77,81 ,+2,269,2020-04-07
South Africa,"1,749",+63,13 ,+1,95,2020-04-07
Argentina,"1,628",,56 ,+3,338,2020-04-07
Iceland,"1,586",+24,6 ,,559,2020-04-07
Colombia,"1,579",,46 ,,88,2020-04-07
Singapore,"1,481",+106,6 ,,377,2020-04-07
Algeria,"1,468",+45,193 ,+20,113,2020-04-07
Ukraine,"1,462",+143,45 ,+7,28,2020-04-07
Egypt,"1,450",+128,94 ,+9,276,2020-04-07
